Driver,Year,Round,EventName,RookiePosition,GridPosition,RookiePoints,Status
Antonelli,2025,1,Australian Grand Prix,4.0,16.0,12.0,Finished
Antonelli,2025,2,Chinese Grand Prix,6.0,8.0,8.0,Finished
Antonelli,2025,3,Japanese Grand Prix,6.0,6.0,8.0,Finished
Antonelli,2025,4,Bahrain Grand Prix,11.0,5.0,0.0,Finished
Antonelli,2025,5,Saudi Arabian Grand Prix,6.0,5.0,8.0,Finished
Antonelli,2025,6,Miami Grand Prix,6.0,3.0,8.0,Finished
Antonelli,2025,7,Emilia Romagna Grand Prix,19.0,13.0,0.0,Retired
Antonelli,2025,8,Monaco Grand Prix,18.0,15.0,0.0,Lapped
Antonelli,2025,9,Spanish Grand Prix,18.0,6.0,0.0,Retired
Antonelli,2025,10,Canadian Grand Prix,3.0,4.0,15.0,Finished
Antonelli,2025,11,Austrian Grand Prix,19.0,9.0,0.0,Retired
Antonelli,2025,12,British Grand Prix,16.0,10.0,0.0,Retired
Antonelli,2025,13,Belgian Grand Prix,16.0,19.0,0.0,Finished
Antonelli,2025,14,Hungarian Grand Prix,10.0,15.0,1.0,Lapped
Antonelli,2025,15,Dutch Grand Prix,16.0,11.0,0.0,Finished
Antonelli,2025,16,Italian Grand Prix,9.0,6.0,2.0,Finished
Antonelli,2025,17,Azerbaijan Grand Prix,4.0,4.0,12.0,Finished
Antonelli,2025,18,Singapore Grand Prix,5.0,4.0,10.0,Finished
Antonelli,2025,19,United States Grand Prix,13.0,7.0,0.0,Finished
Antonelli,2025,20,Mexico City Grand Prix,6.0,6.0,8.0,Finished
Antonelli,2025,21,São Paulo Grand Prix,2.0,2.0,18.0,Finished
Antonelli,2025,22,Las Vegas Grand Prix,3.0,17.0,15.0,Finished
Antonelli,2025,23,Qatar Grand Prix,5.0,5.0,10.0,Finished
Antonelli,2025,24,Abu Dhabi Grand Prix,15.0,14.0,0.0,Finished
Hadjar,2025,1,Australian Grand Prix,20.0,11.0,0.0,Retired
Hadjar,2025,2,Chinese Grand Prix,11.0,7.0,0.0,Finished
Hadjar,2025,3,Japanese Grand Prix,8.0,7.0,4.0,Finished
Hadjar,2025,4,Bahrain Grand Prix,13.0,12.0,0.0,Finished
Hadjar,2025,5,Saudi Arabian Grand Prix,10.0,14.0,1.0,Finished
Hadjar,2025,6,Miami Grand Prix,11.0,11.0,0.0,Finished
Hadjar,2025,7,Emilia Romagna Grand Prix,9.0,9.0,2.0,Finished
Hadjar,2025,8,Monaco Grand Prix,6.0,5.0,8.0,Lapped
Hadjar,2025,9,Spanish Grand Prix,7.0,9.0,6.0,Finished
Hadjar,2025,10,Canadian Grand Prix,16.0,12.0,0.0,Lapped
Hadjar,2025,11,Austrian Grand Prix,12.0,13.0,0.0,Lapped
Hadjar,2025,12,British Grand Prix,17.0,12.0,0.0,Retired
Hadjar,2025,13,Belgian Grand Prix,20.0,8.0,0.0,Lapped
Hadjar,2025,14,Hungarian Grand Prix,11.0,10.0,0.0,Lapped
Hadjar,2025,15,Dutch Grand Prix,3.0,4.0,15.0,Finished
Hadjar,2025,16,Italian Grand Prix,10.0,19.0,1.0,Finished
Hadjar,2025,17,Azerbaijan Grand Prix,10.0,8.0,1.0,Finished
Hadjar,2025,18,Singapore Grand Prix,11.0,8.0,0.0,Lapped
Hadjar,2025,19,United States Grand Prix,16.0,20.0,0.0,Finished
Hadjar,2025,20,Mexico City Grand Prix,13.0,8.0,0.0,Lapped
Hadjar,2025,21,São Paulo Grand Prix,8.0,5.0,4.0,Finished
Hadjar,2025,22,Las Vegas Grand Prix,6.0,8.0,8.0,Finished
Hadjar,2025,23,Qatar Grand Prix,18.0,6.0,0.0,Retired
Hadjar,2025,24,Abu Dhabi Grand Prix,17.0,9.0,0.0,Lapped
Bortoleto,2025,1,Australian Grand Prix,16.0,15.0,0.0,Retired
Bortoleto,2025,2,Chinese Grand Prix,14.0,19.0,0.0,Lapped
Bortoleto,2025,3,Japanese Grand Prix,19.0,17.0,0.0,Finished
Bortoleto,2025,4,Bahrain Grand Prix,18.0,18.0,0.0,Finished
Bortoleto,2025,5,Saudi Arabian Grand Prix,18.0,20.0,0.0,Lapped
Bortoleto,2025,6,Miami Grand Prix,18.0,13.0,0.0,Retired
Bortoleto,2025,7,Emilia Romagna Grand Prix,18.0,14.0,0.0,Finished
Bortoleto,2025,8,Monaco Grand Prix,14.0,16.0,0.0,Lapped
Bortoleto,2025,9,Spanish Grand Prix,12.0,12.0,0.0,Finished
Bortoleto,2025,10,Canadian Grand Prix,14.0,15.0,0.0,Lapped
Bortoleto,2025,11,Austrian Grand Prix,8.0,8.0,4.0,Lapped
Bortoleto,2025,12,British Grand Prix,18.0,16.0,0.0,Retired
Bortoleto,2025,13,Belgian Grand Prix,9.0,10.0,2.0,Finished
Bortoleto,2025,14,Hungarian Grand Prix,6.0,7.0,8.0,Finished
Bortoleto,2025,15,Dutch Grand Prix,15.0,13.0,0.0,Finished
Bortoleto,2025,16,Italian Grand Prix,8.0,7.0,4.0,Finished
Bortoleto,2025,17,Azerbaijan Grand Prix,11.0,13.0,0.0,Finished
Bortoleto,2025,18,Singapore Grand Prix,17.0,14.0,0.0,Lapped
Bortoleto,2025,19,United States Grand Prix,18.0,16.0,0.0,Lapped
Bortoleto,2025,20,Mexico City Grand Prix,10.0,16.0,1.0,Finished
Bortoleto,2025,21,São Paulo Grand Prix,20.0,18.0,0.0,Retired
Bortoleto,2025,22,Las Vegas Grand Prix,17.0,18.0,0.0,Retired
Bortoleto,2025,23,Qatar Grand Prix,13.0,19.0,0.0,Finished
Bortoleto,2025,24,Abu Dhabi Grand Prix,11.0,7.0,0.0,Finished
Bearman,2025,1,Australian Grand Prix,14.0,20.0,0.0,Finished
Bearman,2025,2,Chinese Grand Prix,8.0,17.0,4.0,Finished
Bearman,2025,3,Japanese Grand Prix,10.0,10.0,1.0,Finished
Bearman,2025,4,Bahrain Grand Prix,10.0,20.0,1.0,Finished
Bearman,2025,5,Saudi Arabian Grand Prix,13.0,15.0,0.0,Finished
Bearman,2025,6,Miami Grand Prix,19.0,19.0,0.0,Retired
Bearman,2025,7,Emilia Romagna Grand Prix,17.0,19.0,0.0,Finished
Bearman,2025,8,Monaco Grand Prix,12.0,20.0,0.0,Lapped
Bearman,2025,9,Spanish Grand Prix,17.0,14.0,0.0,Finished
Bearman,2025,10,Canadian Grand Prix,11.0,13.0,0.0,Lapped
Bearman,2025,11,Austrian Grand Prix,11.0,15.0,0.0,Lapped
Bearman,2025,12,British Grand Prix,11.0,18.0,0.0,Finished
Bearman,2025,13,Belgian Grand Prix,11.0,12.0,0.0,Finished
Bearman,2025,14,Hungarian Grand Prix,20.0,11.0,0.0,Retired
Bearman,2025,15,Dutch Grand Prix,6.0,20.0,8.0,Finished
Bearman,2025,16,Italian Grand Prix,12.0,11.0,0.0,Finished
Bearman,2025,17,Azerbaijan Grand Prix,12.0,15.0,0.0,Finished
Bearman,2025,18,Singapore Grand Prix,9.0,9.0,2.0,Finished
Bearman,2025,19,United States Grand Prix,9.0,8.0,2.0,Finished
Bearman,2025,20,Mexico City Grand Prix,4.0,9.0,12.0,Finished
Bearman,2025,21,São Paulo Grand Prix,6.0,8.0,8.0,Finished
Bearman,2025,22,Las Vegas Grand Prix,10.0,14.0,1.0,Finished
Bearman,2025,23,Qatar Grand Prix,19.0,13.0,0.0,Retired
Bearman,2025,24,Abu Dhabi Grand Prix,12.0,11.0,0.0,Finished
